Rk,Player,Age,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
1,Luka Dončić,25,PG,28,28,35.1,8.8,20,0.438,3.6,9.6,0.379,5.1,10.4,0.493,0.53,7,8.9,0.791,0.9,7.2,8.1,7.5,1.6,0.4,3.7,2.4,28.2,,doncilu01
2,Austin Reaves,26,SG,73,73,34.9,6.5,14.2,0.46,2.7,7.3,0.377,3.8,6.9,0.547,0.556,4.4,5,0.877,0.8,3.7,4.5,5.8,1.1,0.3,2.4,2.1,20.2,,reaveau01
3,LeBron James,40,SF,70,70,34.9,9.3,18.1,0.513,2.1,5.7,0.376,7.2,12.5,0.574,0.571,3.7,4.7,0.782,1,6.8,7.8,8.2,1,0.6,3.7,1.4,24.4,MVP-6CPOY-7ASNBA2,jamesle01
4,Anthony Davis,31,C,42,42,34.3,9.5,18,0.528,0.7,2.2,0.298,8.9,15.8,0.56,0.546,6,7.6,0.788,2.8,9,11.9,3.4,1.3,2.1,2.2,2,25.7,AS,davisan02
5,Rui Hachimura,26,PF,59,57,31.7,5,9.8,0.509,1.7,4.2,0.413,3.2,5.6,0.581,0.597,1.5,1.9,0.77,1.3,3.7,5,1.4,0.8,0.4,0.8,1.8,13.1,,hachiru01
6,Dorian Finney-Smith,31,PF,43,20,28.8,2.8,6.4,0.442,1.9,4.8,0.398,0.9,1.6,0.571,0.591,0.3,0.5,0.714,1.1,2.5,3.6,1.4,0.9,0.3,0.9,1.9,7.9,,finnedo01
7,D'Angelo Russell,28,PG,29,10,26.3,4.4,10.7,0.415,1.9,5.8,0.333,2.5,4.9,0.51,0.505,1.6,1.8,0.849,0.3,2.5,2.8,4.7,0.8,0.1,1.7,1.8,12.4,,russeda01
8,Max Christie,21,SG,46,25,25.1,2.8,6.3,0.444,1.3,3.5,0.368,1.5,2.7,0.544,0.549,1.6,1.9,0.851,0.5,2.1,2.7,1.4,0.8,0.5,0.8,1.6,8.5,,chrisma02
9,Gabe Vincent,28,PG,72,11,21.2,2.3,5.8,0.4,1.5,4.3,0.353,0.8,1.5,0.532,0.53,0.2,0.3,0.714,0.3,1,1.3,1.4,0.7,0.2,0.6,2.1,6.4,,vincega01
10,Jaxson Hayes,24,C,56,35,19.5,2.9,4,0.722,0,0.1,0,2.9,3.9,0.732,0.722,1.1,1.8,0.622,1.4,3.4,4.8,1,0.6,0.9,0.8,2.4,6.8,,hayesja02
11,Dalton Knecht,23,SF,78,16,19.2,3.3,7.1,0.461,1.6,4.4,0.376,1.7,2.8,0.594,0.576,0.8,1.1,0.762,0.5,2.3,2.8,0.8,0.3,0.1,0.5,1.2,9.1,,knechda01
12,Jordan Goodwin,26,PG,29,5,18.7,2.2,5,0.438,0.9,2.3,0.382,1.3,2.6,0.487,0.528,0.3,0.4,0.818,1.3,2.6,3.9,1.4,1,0.4,0.9,1.5,5.6,,goodwjo01
13,Cam Reddish,25,SF,33,8,17.8,1.2,2.8,0.404,0.4,1.4,0.277,0.8,1.4,0.532,0.473,0.5,0.8,0.615,0.5,1.5,2,0.7,1,0.3,0.4,1.3,3.2,,reddica01
14,Jarred Vanderbilt,25,PF,36,2,16.1,1.6,3.4,0.488,0.3,0.9,0.281,1.4,2.5,0.562,0.525,0.6,1,0.556,1.9,3.2,5.1,1.1,1,0.3,0.8,1.9,4.1,,vandeja01
15,Markieff Morris,35,PF,8,2,15.5,2,6,0.333,0.9,2.9,0.304,1.1,3.1,0.36,0.406,0.6,0.8,0.833,0.4,1.5,1.9,2.1,0.1,0.3,0.4,1.8,5.5,,morrima02
16,Alex Len,31,C,10,4,12.2,1,2.2,0.455,0.1,0.3,0.333,0.9,1.9,0.474,0.477,0.1,0.4,0.25,1.3,1.8,3.1,0.8,0.1,0.3,0.9,2.1,2.2,,lenal01
17,Shake Milton,28,SG,30,1,11.5,1.4,3.2,0.433,0.3,1.1,0.294,1.1,2.1,0.508,0.485,0.7,0.9,0.846,0.5,1.3,1.8,1.3,0.3,0.1,0.7,0.8,3.9,,miltosh01
18,Trey Jemison,25,C,22,0,10.3,1.2,1.9,0.619,0,0,,1.2,1.9,0.619,0.619,0.2,0.5,0.417,1,1.8,2.8,0.3,0.1,0.4,0.6,1.9,2.6,,jemistr01
19,Christian Koloko,24,C,37,0,9.2,1.1,1.8,0.606,0,0.1,0,1.1,1.7,0.645,0.606,0.3,0.4,0.714,0.9,1.5,2.5,0.4,0.2,0.4,0.3,1.2,2.4,,kolokch01
20,Armel Traoré,22,SF,9,0,7.4,0.7,2.1,0.316,0,0.8,0,0.7,1.3,0.5,0.316,0.2,0.8,0.286,0.2,1.4,1.7,0.1,0.4,0.2,0.3,0.7,1.6,,armeltr01
21,Jalen Hood-Schifino,21,SG,2,0,7,0.5,0.5,1,0,0,,0.5,0.5,1,1,1,1,1,0.5,0,0.5,0.5,0,0.5,0.5,1.5,2,,hoodsja01
22,Bronny James,20,SG,27,1,6.7,0.8,2.5,0.313,0.3,1.2,0.281,0.4,1.3,0.343,0.381,0.4,0.5,0.786,0.1,0.5,0.7,0.8,0.3,0.1,0.5,0.5,2.3,,jamesbr02
23,Quincy Olivari,23,PG,2,0,5,0.5,2.5,0.2,0.5,2.5,0.2,0,0,,0.3,0,0,,0,0,0,0.5,0,0,0.5,0,1.5,,olivaqu01
24,Maxwell Lewis,22,SF,7,0,4.1,0.3,0.9,0.333,0,0,,0.3,0.9,0.333,0.333,0,0,,0.3,0,0.3,0.3,0.1,0,0.3,0.1,0.6,,lewisma05
,Team Totals,,,82,82,240.6,40.9,85.5,0.479,13.3,36.4,0.366,27.6,49.1,0.562,0.557,18.2,23.2,0.785,9.7,32.8,42.4,26,7.7,4.5,14,17.3,113.4,,-9999
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,